datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902143200.379,11.080,-2.4043,1.5904,-1.5429,-0.8547,-0.4146,-0.3109,0.0319,46.7581,47.4875,17.2644
220902143200.492,11.180,-2.4103,1.5843,-1.5441,-0.8430,-0.4355,-0.3130,0.0420,49.5091,49.1431,18.1107
220902143200.591,11.280,-2.4112,1.5876,-1.5402,-0.8507,-0.4158,-0.3174,0.0517,47.7520,47.6669,15.1719
220902143200.683,11.380,-2.4116,1.5957,-1.5321,-0.8550,-0.3984,-0.3249,0.0683,46.5193,46.7539,11.9183
220902143200.782,11.480,-2.4104,1.6063,-1.5234,-0.8637,-0.3681,-0.3377,0.0670,42.9311,46.8353,10.4592
220902143200.880,11.580,-2.4108,1.6165,-1.5152,-0.8727,-0.3359,-0.3481,0.0659,39.2087,46.6331,8.8151
220902143200.990,11.680,-2.4132,1.6340,-1.5114,-0.8785,-0.2708,-0.3895,0.0572,31.3543,49.9091,7.4256
220902143201.089,11.780,-2.4222,1.6482,-1.5087,-0.8631,-0.2276,-0.4496,0.0342,25.0625,57.0923,9.2449
220902143201.188,11.880,-2.4349,1.6652,-1.5106,-0.8292,-0.1722,-0.5315,0.0183,17.7540,66.7624,9.2278
220902143201.285,11.980,-2.4489,1.6740,-1.5072,-0.7889,-0.1524,-0.5953,0.0020,14.0495,75.3829,10.5895
220902143201.381,12.080,-2.4585,1.6823,-1.5045,-0.7637,-0.1264,-0.6331,-0.0009,11.0603,80.2296,9.4646
220902143201.480,12.180,-2.4648,1.6850,-1.5030,-0.7453,-0.1212,-0.6556,-0.0031,10.1740,83.5205,9.5661
220902143201.590,12.280,-2.4679,1.6850,-1.5030,-0.7440,-0.1173,-0.6577,0.0104,10.8463,83.7230,8.1288
220902143201.689,12.380,-2.4711,1.6848,-1.5043,-0.7416,-0.1189,-0.6600,0.0137,11.2153,84.1235,8.0057
220902143201.787,12.480,-2.4739,1.6850,-1.5053,-0.7413,-0.1145,-0.6611,0.0187,11.2146,84.1689,7.2438
220902143201.884,12.580,-2.4762,1.6854,-1.5055,-0.7428,-0.1127,-0.6597,0.0184,11.0523,83.9102,7.1021
220902143201.981,12.680,-2.4777,1.6854,-1.5060,-0.7481,-0.1129,-0.6536,0.0186,11.1394,82.9716,7.0138
220902143202.079,12.780,-2.4804,1.6866,-1.5061,-0.7514,-0.1099,-0.6504,0.0179,10.8612,82.4058,6.7840
220902143202.190,12.880,-2.4833,1.6871,-1.5053,-0.7545,-0.1077,-0.6471,0.0185,10.7483,81.8480,6.5108
220902143202.288,12.980,-2.4864,1.6877,-1.5048,-0.7574,-0.1038,-0.6445,0.0166,10.2877,81.3623,6.3369
220902143202.385,13.080,-2.4922,1.6902,-1.5062,-0.7574,-0.0999,-0.6452,0.0117,9.5762,81.3995,6.4697
220902143202.483,13.180,-2.4965,1.6941,-1.5082,-0.7583,-0.0858,-0.6462,0.0050,7.8516,81.2890,5.9916
220902143202.581,13.280,-2.4993,1.6954,-1.5116,-0.7600,-0.0776,-0.6453,-0.0027,6.5734,81.0096,6.0220
220902143202.679,13.380,-2.5011,1.6970,-1.5164,-0.7680,-0.0808,-0.6352,-0.0119,6.2519,79.5665,6.9899
220902143202.790,13.480,-2.5025,1.6989,-1.5221,-0.7722,-0.0790,-0.6301,-0.0231,5.3312,78.7912,7.8047
220902143202.888,13.580,-2.5048,1.6836,-1.5219,-0.7783,-0.1518,-0.6092,-0.0048,13.3281,77.4423,11.4047
220902143202.984,13.680,-2.5019,1.6680,-1.5223,-0.7630,-0.2251,-0.6058,0.0143,21.1477,79.8337,15.6028
